종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,EBS,통과,근거,ATR_MULT,SECTOR_RET_5D,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%,오늘종가,전일추천매수가,전일→오늘_수익률%,검증기준일,비교대상추천일
240810,원익IPS,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,63900,349.68,31364.6,63000,58500,69600,76200,84.1,78.9,82.6,🔥 SQZ (폭발대기),① 강한 상승 추세,4.58,142.97,0.02,35.52,129.22,5,0.86,1.0,1.0,0.68,0.53,0.33,0.65,63.8,58.3,4.51,-52.0134,0.0075,1.45,0.41,67380,-1,9.78,1,1,1,1,False,1.27,3.23,43.27,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",1.8,-1.8196491228070173,13.0,1.0555555555555556,1.4285714285714286,-1,🌪️ 5일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 📈 상승 모멘텀 개선. ,61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),1,11,20251217,20251217,18.84,7.75,43.27,35.52,57100,63000,-9.365079365079366,20251218,20251217
015760,한국전력,KOSPI,전기업,전기업,기타,51200,2334.77,328685.6,51200,47600,55600,59900,83.7,99.7,88.8,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,8.36,50.15,5.13,20.48,19.45,0,1.0,0.98,1.0,1.0,0.45,1.0,0.75,47.0,33.0,1.27,-366.8944,0.0649,1.09,0.03,45960,1,10.76,0,0,0,1,False,2.81,0.39,39.32,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",1.8,3.585636363636364,6.0,1.2222222222222223,0.0,1,📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),5,12,20251217,20251217,18.84,7.75,39.32,20.48,48200,51200,-5.859375,20251218,20251217
128940,한미약품,KOSPI,의약품 제조업,의약품 제조업,바이오·의약품,434500,228.52,55663.8,434500,404500,470500,506000,83.7,84.2,88.1,🔺 Watch (상승 준비),⑤ 하락 / 약세,-3.44,46.05,-6.67,20.42,15.35,3,0.98,0.95,1.0,1.0,0.25,0.17,0.69,42.4,42.5,-1.5,-2192.1502,0.0923,0.57,-0.0,404850,1,9.88,1,1,1,0,True,0.23,0.12,39.26,3,,"MACD상승, 정배열(단), 장기추세(120↑)",1.8,4.758695652173913,4.0,1.2,0.0,1,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),5,13,20251217,20251217,18.84,7.75,39.26,20.42,434000,434500,-0.11507479861909697,20251218,20251217
285130,SK케미칼,KOSPI,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱 물질 제조업,기타,71600,53.0,12385.9,71600,67400,76700,81700,83.4,81.7,79.9,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,-3.37,3.62,-6.6,-6.97,-27.08,3,0.99,0.81,0.87,1.0,0.48,0.0,0.8,53.8,53.3,0.63,-97.1363,0.2209,1.13,0.29,67405,1,9.58,1,1,1,1,True,2.87,-1.38,11.87,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",1.8,3.585636363636364,6.0,1.2142857142857142,0.0,1,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),4,14,20251217,20251217,18.84,7.75,11.87,-6.97,69500,71600,-2.9329608938547524,20251218,20251217
010170,대한광통신,KOSDAQ,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,2285,116.14,3015.9,2285,2125,2525,2765,83.3,89.4,93.5,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,11.74,163.86,7.18,32.18,150.11,0,1.0,1.0,1.0,1.0,0.68,0.02,0.74,50.2,65.4,2.49,1.087,0.1913,0.43,0.78,1870,1,39.42,0,0,0,1,False,5.3,-8.23,39.93,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",2.0,3.585636363636364,6.0,1.5,0.0,1,💸 자금 유입 지속. 🚀 단기 모멘텀 가속.  (매수 유효),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),1,15,20251217,20251217,18.84,7.75,39.93,32.18,2325,2285,1.7505470459518557,20251218,20251217
001440,대한전선,KOSPI,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,23000,648.86,42882.9,23000,21350,24950,26900,82.6,94.1,89.8,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,0.0,30.9,-3.23,24.91,0.2,0,0.97,0.97,1.0,1.0,0.54,0.74,0.85,54.6,54.5,0.94,-5.955,0.2006,0.89,0.73,25545,-1,13.74,0,0,0,1,True,2.22,0.22,43.75,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",2.0,3.585636363636364,6.0,1.181818181818182,0.0,-1,🧱 구조적 지지선(Swing Low) 근접. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),1,16,20251217,20251217,18.84,7.75,43.75,24.91,22200,23000,-3.4782608695652195,20251218,20251217
298040,효성중공업,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,1910000,926.69,178098.9,1910000,1776000,2071000,2231000,82.3,82.8,86.3,↩️ PULL (눌림),② 상승 후 조정,-5.35,131.23,-8.58,20.07,100.53,3,0.98,0.96,1.0,1.0,0.15,1.0,0.74,43.4,54.9,-1.0,-8460.562,-0.0328,0.82,-1.28,2169700,-1,11.67,0,1,1,0,True,-1.8,0.79,38.91,3,,"20선근접, 정배열(단), 장기추세(120↑)",1.8,-2.692,15.0,1.2014925373134329,0.0,-1,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. ✅ 20일선 눌림목 구간. (매수 유효),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),2,17,20251217,20251217,18.84,7.75,38.91,20.07,1812000,1910000,-5.130890052356019,20251218,20251217
090710,휴림로봇,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,5600,369.99,6689.6,5600,5200,6190,6780,82.2,88.0,92.3,↩️ PULL (눌림),① 강한 상승 추세,8.95,125.81,4.39,58.92,112.06,0,1.0,1.0,1.0,1.0,0.62,0.36,0.72,59.3,76.0,2.82,27.102,0.0304,0.6,0.51,4875,1,28.39,0,0,0,1,True,-1.58,-0.18,66.67,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",2.0,-1.8196491228070173,13.0,1.475,0.0,1,🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속.  (매수 유효),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),1,18,20251217,20251217,18.84,7.75,66.67,58.92,5480,5600,-2.1428571428571463,20251218,20251217
071050,한국금융지주,KOSPI,기타 금융업,기타 금융업,금융,157600,522.04,87824.2,157600,146500,170900,184100,82.1,83.3,85.6,↩️ PULL (눌림),④ 바닥 반등 시도,0.25,6.2,-2.98,-16.77,-24.5,3,0.98,0.96,1.0,1.0,0.12,0.57,0.69,44.5,44.3,-1.89,-108.9121,0.0216,1.32,-0.13,175290,-1,9.03,1,1,1,0,True,-1.87,-4.19,2.07,3,,"MACD상승, 거래량↑, 장기추세(120↑)",1.8,2.1648571428571426,7.0,1.1981981981981982,0.0,-1,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),4,19,20251217,20251217,18.84,7.75,2.07,-16.77,157000,157600,-0.3807106598984755,20251218,20251217
103590,일진전기,KOSPI,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,55500,256.91,26465.4,55500,51600,61400,67200,81.7,90.5,90.1,🔺 Watch (상승 준비),① 강한 상승 추세,-1.42,65.18,-4.65,34.69,34.48,0,1.0,1.0,1.0,1.0,0.5,0.21,0.77,51.4,65.1,1.07,-0.8468,0.0683,0.64,0.48,50960,1,13.62,0,0,0,1,False,1.46,2.4,53.53,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",2.0,3.585636363636364,6.0,1.5128205128205128,0.0,1,📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),1,20,20251217,20251217,18.84,7.75,53.53,34.69,53600,55500,-3.4234234234234218,20251218,20251217
