종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,NEWS_SCORE,NEWS_REASON,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,주봉20선_상회,주봉추세,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,ML_SCORE,TOTAL_SCORE,켈리_수량,켈리_금액(원),MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
417970,모델솔루션,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,26000,173.33,,26000,24150,31500,37000,92.5,85.8,94.2,0.0,특이사항 없음,↩️ PULL (눌림),② 상승 후 조정,2.36,131.94,-0.09,96.12,113.17,6,1.0,1.0,1.0,1.0,0.51,0.07,0.65,49.4,68.2,2.14,25605,1.54,,-346.8845,-0.3552,1.64,-0.19,20285,1,23.89,0,1,1,1,False,-5.11,4.63,106.35,O,▲,11,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",1.8,108,281.5,26568,▼,X,O,8.520588235294117,13.023529411764706,4.0,2.972972972972973,0.0,1,🌪️ 6일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💸 자금 유입 지속.  (매수 유효),75.19999694824219,87.3,108,2815045,61.9,51.1,72.0,🌤 중립,1.철강·금속(+13.9%) / 2.IT/전기전자(+12.0%) / 3.반도체(+11.6%) / 4.조선·기계·설비(+11.2%) / 5.기타(+9.1%),2,1,20260107,20260107,26.05,10.23,106.35,96.12
389500,에스비비테크,KOSDAQ,일반 목적용 기계 제조업,일반 목적용 기계 제조업,조선·기계·설비,40100,435.75,,40100,37250,48000,55900,92.4,88.1,92.7,0.0,특이사항 없음,↩️ PULL (눌림),② 상승 후 조정,18.29,89.6,15.84,43.41,70.83,1,1.0,1.0,1.0,1.0,0.43,0.31,0.66,45.8,62.2,2.77,37577,6.71,,-709.5463,-0.0252,1.94,0.62,29360,1,20.31,0,1,1,1,False,2.69,-3.49,53.64,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA돌파, RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",1.8,69,276.8,36550,▼,O,X,8.520588235294117,13.023529411764706,4.0,2.7719298245614037,0.0,1,🌪️ 에너지 응축 시작 (1일차). 💸 자금 유입 지속.  (매수 유효),75.0,87.2,69,2768354,61.9,51.1,72.0,🌤 중립,1.철강·금속(+13.9%) / 2.IT/전기전자(+12.0%) / 3.반도체(+11.6%) / 4.조선·기계·설비(+11.2%) / 5.기타(+9.1%),2,2,20260107,20260107,26.05,10.23,53.64,43.41
054540,삼영엠텍,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 금속제품, 탱크 및 증기발생기 제조업",기타,14720,446.4,,14720,13680,16900,19080,89.3,84.6,88.9,0.0,특이사항 없음,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,0.27,174.12,-2.18,18.44,155.35,6,0.8,0.81,1.0,1.0,0.54,0.32,0.7,53.3,81.0,2.66,14658,0.42,,105.9222,0.1261,1.61,0.46,12743,1,20.64,0,1,1,1,False,4.03,10.26,28.67,O,▲,13,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, OBV매집, RSI적정, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",1.8,189,279.2,14470,▲,O,O,6.295128205128205,10.954786324786324,5.0,2.0961538461538463,0.0,1,🌪️ 6일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속.  (매수 유효),91.9000015258789,90.1,189,2791788,61.9,51.1,72.0,🌤 중립,1.철강·금속(+13.9%) / 2.IT/전기전자(+12.0%) / 3.반도체(+11.6%) / 4.조선·기계·설비(+11.2%) / 5.기타(+9.1%),1,3,20260107,20260107,26.05,10.23,28.67,18.44
317830,에스피시스템스,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,12590,197.67,,12590,11700,15310,18020,85.6,84.9,91.1,0.0,특이사항 없음,↩️ PULL (눌림),② 상승 후 조정,14.87,78.33,12.42,22.58,59.56,1,1.0,1.0,1.0,1.0,0.35,0.09,0.7,48.0,71.5,-2.08,13076,-3.72,,-153.2312,-0.5408,0.6,-1.95,10572,1,23.73,0,1,1,0,False,-13.71,1.29,32.81,O,▲,6,★,"주봉20선↑, 주봉추세우상향, RSI적정, 정배열(단), 장기추세(120↑), 자금유입",1.8,210,264.4,13433,▼,X,X,8.520588235294117,13.023529411764706,4.0,3.056179775280899,0.0,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 💰 외국인/기관 수급 집중.  (매수 유효),82.0,84.5,210,2644209,61.9,51.1,72.0,🌤 중립,1.철강·금속(+13.9%) / 2.IT/전기전자(+12.0%) / 3.반도체(+11.6%) / 4.조선·기계·설비(+11.2%) / 5.기타(+9.1%),2,4,20260107,20260107,26.05,10.23,32.81,22.58
123410,코리아에프티,KOSDAQ,자동차 신품 부품 제조업,자동차 신품 부품 제조업,자동차·모빌리티,8440,138.16,,8440,7590,10980,13510,84.8,74.6,86.3,0.0,특이사항 없음,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,0.6,67.79,-1.85,29.51,49.02,3,1.0,1.0,0.35,1.0,0.44,0.04,0.49,48.3,48.8,1.52,8305,1.62,장악형,-92.8341,0.0062,3.09,0.66,7406,1,7.94,1,1,1,1,False,2.93,-2.2,39.74,O,▲,13,★,"주봉20선↑, 주봉추세우상향, HMA돌파, OBV매집, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), VWAP상회, 패턴(장악형)",2.5,322,271.8,8155,▼,O,O,10.133333333333333,4.7825,6.0,2.988235294117647,0.0,1,🌪️ 에너지 응축 시작 (3일차). 📈 상승 모멘텀 개선. ✅ 20일선 눌림목 구간.,88.0,85.8,322,2717755,61.9,51.1,72.0,🌤 중립,1.철강·금속(+13.9%) / 2.IT/전기전자(+12.0%) / 3.반도체(+11.6%) / 4.조선·기계·설비(+11.2%) / 5.기타(+9.1%),5,5,20260107,20260107,26.05,10.23,39.74,29.51
005850,에스엘,KOSPI,자동차 신품 부품 제조업,자동차 신품 부품 제조업,자동차·모빌리티,44500,259.1,,44500,40250,54700,64800,84.3,76.7,84.1,0.0,특이사항 없음,🔺 Watch (관찰·돌파예상),③ 박스 / 중립,-2.52,39.72,-13.52,3.69,-3.25,1,0.92,1.0,0.49,1.0,0.34,0.15,0.51,54.2,58.8,2.94,43023,3.43,장악형,-269.3815,0.0409,2.78,0.61,40280,1,9.82,1,1,1,1,False,4.09,3.13,29.74,O,▲,14,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, HMA돌파, OBV매집, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), VWAP상회, 패턴(장악형)",2.5,39,177.0,42287,▲,O,O,10.133333333333333,4.7825,6.0,2.4,0.0,1,🌪️ 에너지 응축 시작 (1일차). 🚀 단기 모멘텀 가속. ,51.29999923706055,74.4,39,1770000,61.9,51.1,72.0,🌤 중립,1.철강·금속(+13.9%) / 2.IT/전기전자(+12.0%) / 3.반도체(+11.6%) / 4.조선·기계·설비(+11.2%) / 5.기타(+9.1%),3,6,20260107,20260107,26.05,10.23,29.74,3.69
431190,케이쓰리아이,KOSDAQ,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,IT/전기전자,5370,217.34,,5350,4810,6960,8560,83.7,73.5,84.9,0.0,특이사항 없음,🔼 BRK (돌파),④ 바닥 반등 시도,-4.45,2.09,-6.9,-8.91,-16.68,1,1.0,1.0,0.35,0.96,0.43,0.11,0.31,53.4,90.5,3.44,5566,-3.53,,35.9107,0.2696,9.47,0.71,5545,-1,16.42,0,1,1,1,False,7.4,6.97,1.32,O,▲,12,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, OBV매집, RSI적정, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), 자금유입, MACD>Sig",2.5,527,282.3,5175,▲,O,O,6.8311111111111105,15.4375,2.0,2.8392857142857144,0.3738317757009346,-1,🌪️ 에너지 응축 시작 (1일차). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ,96.0,87.4,527,2823291,61.9,51.1,72.0,🌤 중립,1.철강·금속(+13.9%) / 2.IT/전기전자(+12.0%) / 3.반도체(+11.6%) / 4.조선·기계·설비(+11.2%) / 5.기타(+9.1%),4,7,20260107,20260107,26.05,10.23,1.32,-8.91
089010,켐트로닉스,KOSDAQ,기타 화학제품 제조업,기타 화학제품 제조업,화학·소재,31050,109.71,,31050,28850,35400,39750,83.1,71.2,85.0,0.0,특이사항 없음,🔺 Watch (상승 준비),④ 바닥 반등 시도,-0.16,39.86,-2.61,-18.23,21.09,1,0.76,0.76,1.0,1.0,0.41,0.01,0.73,49.1,46.6,1.04,31424,-1.19,,249.5705,0.1799,0.72,-0.88,33345,-1,13.3,0,1,1,1,False,1.47,6.34,-8.0,O,▲,9,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, MACD상승, 20선근접, 장기추세(120↑), MACD>Sig",1.8,55,172.5,31135,▲,X,O,1.4369999999999998,-2.0105,10.0,1.9772727272727273,0.0,-1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,61.099998474121094,76.5,55,1725000,61.9,51.1,72.0,🌤 중립,1.철강·금속(+13.9%) / 2.IT/전기전자(+12.0%) / 3.반도체(+11.6%) / 4.조선·기계·설비(+11.2%) / 5.기타(+9.1%),4,8,20260107,20260107,26.05,10.23,-8.0,-18.23
055550,신한지주,KOSPI,기타 금융업,기타 금융업,금융,79000,895.84,,79000,74600,87800,96500,82.9,79.5,80.2,0.0,특이사항 없음,🔺 Watch (상승 준비),④ 바닥 반등 시도,-1.5,13.02,-12.5,-16.33,-29.95,4,0.76,0.61,0.8,1.0,0.36,0.72,0.89,55.4,55.9,1.86,78591,0.52,,201.45,0.124,1.17,1.48,74635,1,5.93,1,1,1,1,False,1.41,2.2,9.72,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig, VWAP상회",1.8,8,63.5,78339,▲,O,X,1.2916129032258064,-7.02483870967742,11.0,2.0,0.0,1,🌪️ 에너지 응축 시작 (4일차). 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,12.699999809265137,61.8,8,634999,61.9,51.1,72.0,🌤 중립,1.철강·금속(+13.9%) / 2.IT/전기전자(+12.0%) / 3.반도체(+11.6%) / 4.조선·기계·설비(+11.2%) / 5.기타(+9.1%),4,9,20260107,20260107,26.05,10.23,9.72,-16.33
058610,에스피지,KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,80000,1506.28,,80000,74400,96700,113400,82.5,92.1,90.8,0.0,특이사항 없음,↩️ PULL (눌림),② 상승 후 조정,20.12,197.95,17.67,152.07,179.18,0,1.0,1.0,1.0,1.0,0.54,1.0,0.77,50.9,64.7,0.35,80528,-0.66,,-1981.4406,-0.4338,1.15,-0.6,60660,1,30.72,0,0,0,1,False,-6.87,-10.91,162.3,O,▲,7,★,"주봉20선↑, 주봉추세우상향, RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",2.0,33,264.3,83199,▼,X,X,-0.968,-10.621,15.0,2.982142857142857,0.0,1,📉 매도세 우위. 💸 자금 유입 지속. ✅ 20일선 눌림목 구간. (강력 매수),89.69999694824219,84.7,33,2643143,61.9,51.1,72.0,🌤 중립,1.철강·금속(+13.9%) / 2.IT/전기전자(+12.0%) / 3.반도체(+11.6%) / 4.조선·기계·설비(+11.2%) / 5.기타(+9.1%),2,10,20260107,20260107,26.05,10.23,162.3,152.07
