시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매수가,손절가,추천매도가1,추천매도가2,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,BLOCK_REASON
KOSPI,SG세계물산,004060,상품 종합 도매업,683,1032.54,1382.6,103254150390.0,75.1,92.7,57.52,117.17,0,0,0,-11.07,56.29,53.48,113.44,101.47,112.77,92.9,,,0.0,0.0,1,44.41,12.0,36.57,1,0,0.59,0.63,455.0,432.0,524.0,536.0,v1_sl_first_gap_at_open,5.05,6.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,470.29999999999995,633,7.81,0.9319,3.15,1.09,False,O,▲,590,▲,O,X,0,0,0,0.0,상품 종합 도매업,기타,11.653740458015266,11.101374045801526,7.0,93.6,43.291337085603985,43.291337085603985,4,1,64.4,44.1,93.6,65.2,65.2,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,DSC인베스트먼트,241520,신탁업 및 집합투자업,18620,882.9,5027.4,88290365840.0,89.5,88.2,74.08,127.38,0,0,0,0.54,59.42,110.63,152.65,195.09,189.13,132.59,,,0.0,0.0,1,154.68,12.0,9.5,1,0,1.79,0.92,11230.0,10660.0,12940.0,13230.0,v1_sl_first_gap_at_open,5.08,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,11932.0,15092,23.38,0.7764,0.82,2.4,False,O,▲,15481,▲,O,X,0,0,0,0.0,신탁업 및 집합투자업,기타,11.653740458015266,11.101374045801526,7.0,90.6,77.84887738058265,77.84887738058265,6,1,81.2,82.5,90.6,83.4,83.4,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSPI,미래에셋생명,085620,보험업,15110,862.4,26747.1,86239977265.0,74.9,96.8,51.15,83.52,0,0,0,-6.27,71.32,58.89,68.64,70.93,116.48,48.1,,,0.0,0.0,1,60.65,12.0,-5.89,1,0,0.31,0.6,10500.0,9970.0,12090.0,12360.0,v1_sl_first_gap_at_open,5.05,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(20.0%)/급등(-6.3%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,12696.0,15070,0.26,1.3658,7.37,-1.14,False,O,▲,11515,▲,O,X,0,0,0,0.0,보험업,금융,9.20217391304348,15.306304347826087,4.0,91.3,52.5,52.5,2,0,24.0,78.3,91.3,51.0,51.0,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,한국토지신탁,034830,신탁업 및 집합투자업,1716,765.91,4332.7,76591177382.0,93.8,98.6,31.76,40.11,0,0,0,16.81,27.87,37.5,43.36,30.99,41.0,22.82,,,0.0,0.0,1,1.22,7.6,2.02,1,0,6.3,0.77,1367.0,1299.0,1537.0,1571.0,v1_sl_first_gap_at_open,4.97,6.0,2.5,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(0.4%)/급등(16.8%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,1429.7,1652,3.85,0.2944,14.63,2.9,False,O,▲,1469,▲,O,X,0,0,0,0.0,신탁업 및 집합투자업,기타,11.653740458015266,11.101374045801526,7.0,82.0,44.5,44.5,6,1,68.5,49.4,82.0,66.4,66.4,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,파두,440110,반도체 제조업,54400,745.87,27205.7,74587275850.0,86.6,84.8,40.35,138.85,0,0,0,7.94,-1.09,21.7,121.14,142.32,353.33,101.08,,,0.032,0.032,1,128.83,12.0,91.27,1,0,2.68,0.86,40700.0,38650.0,46850.0,47900.0,v1_sl_first_gap_at_open,5.04,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,37310.0,52342,3.93,-0.7099,0.69,-0.44,False,X,▼,58098,▲,X,X,0,0,0,0.0,반도체 제조업,반도체,13.13391304347826,19.21391304347826,3.0,40.2,24.498037843958766,24.498037843958766,4,1,82.9,29.9,40.2,61.1,61.1,[RSI극단: RSI 85+ 극단과열]
KOSPI,SK증권,001510,금융 지원 서비스업,1812,512.74,8563.3,51274411154.0,75.4,90.5,72.62,141.59,0,0,0,9.35,93.8,101.33,163.76,176.64,180.06,143.22,,,0.0,0.0,1,86.21,12.0,28.33,1,0,2.09,0.83,1102.0,1047.0,1267.0,1295.0,v1_sl_first_gap_at_open,4.99,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,1444.2,1543,17.41,1.0258,0.4,0.83,False,O,▲,1543,▲,O,X,0,0,0,0.0,금융 지원 서비스업,서비스 기타,14.963333333333335,25.119999999999997,2.0,91.2,49.0,49.0,6,1,82.4,58.4,91.2,78.2,78.2,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,SKAI,357880,소프트웨어 개발 및 공급업,2885,495.34,1353.0,49534121742.0,83.2,82.3,59.4,78.2,0,0,0,29.95,46.97,89.8,62.44,85.77,42.47,42.38,,,0.0,0.0,1,31.45,12.0,-4.93,0,0,0.93,1.0,1900.0,1805.0,2185.0,2235.0,v1_sl_first_gap_at_open,5.0,6.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(0.2%)/급등(30.0%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,1736.1,2306,25.06,0.6767,4.59,-0.63,False,O,▲,2184,▲,O,X,0,0,0,0.0,소프트웨어 개발 및 공급업,IT/전기전자,7.544189189189189,8.899864864864865,9.0,96.2,70.0,70.0,2,0,31.6,73.8,96.2,55.1,55.1,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,에이치엠넥스,036170,반도체 제조업,2795,394.88,1715.2,39488285856.0,81.4,94.0,63.96,72.65,0,0,0,24.22,61.65,59.71,85.71,214.4,199.25,65.65,,,0.0,0.0,1,64.63,12.0,8.95,1,0,2.14,0.93,1790.0,1700.0,2060.0,2105.0,v1_sl_first_gap_at_open,5.03,6.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(2.2%)/급등(24.2%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,1840.5,2417,15.59,0.7537,7.05,3.79,False,O,▲,1954,▲,O,X,0,0,0,0.0,반도체 제조업,반도체,13.13391304347826,19.21391304347826,3.0,94.7,70.0,70.0,6,1,84.0,81.8,94.7,85.6,85.6,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,한국자산신탁,123890,신탁업 및 집합투자업,2970,375.5,3634.5,37550050764.0,86.9,96.4,10.46,25.16,0,0,0,0.68,6.64,11.65,22.22,23.49,23.24,1.68,,,0.0,0.0,1,21.41,7.7,6.63,1,0,4.52,0.53,2970.0,2820.0,3345.0,3420.0,v1_sl_first_gap_at_open,5.05,6.0,2.5,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,2780.0,3063,-3.06,0.0491,10.57,0.61,False,O,▲,2947,▲,O,X,0,0,0,0.0,신탁업 및 집합투자업,기타,11.653740458015266,11.101374045801526,7.0,44.6,30.382190953525306,30.382190953525306,6,1,87.5,29.8,44.6,64.5,64.5,[RSI극단: RSI 85+ 극단과열]
KOSPI,광동제약,009290,의약품 제조업,10160,374.27,5059.7,37427013190.0,81.2,92.4,48.59,97.45,0,0,0,-8.3,66.01,64.4,76.08,73.08,68.77,55.54,,,0.074,0.074,1,0.57,12.0,3.63,1,0,3.9,0.62,7180.0,6820.0,8260.0,8440.0,v1_sl_first_gap_at_open,5.01,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,9359.0,10441,-2.7,1.3535,1.39,1.19,False,O,▲,8747,▲,O,X,0,0,0,0.0,의약품 제조업,바이오·의약품,11.925217391304349,11.121304347826086,6.0,93.5,52.0,52.0,6,1,79.3,55.8,93.5,76.3,76.3,[연속급등: 5일 수익률 40%+ 과열]
