LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,V23_ATR_Pct,V23_OBV_Slope,V23_Upper_Shadow_Ratio,V23_SIGNAL_STATUS,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,STRATEGY_SCORE,STRATEGY_HORIZON,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,LEGACY_EST_WIN_RATE,LEGACY_LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,KELLY_PLANNED_B,KELLY_EMPIRICAL_B,KELLY_FINAL_B,KELLY_FRACTION,켈리_금액(원),추천수량,KELLY_ENGINE,KELLY_ERROR,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,TOP_PICK_TYPE,EST_WIN_RATE_METHOD,EST_WIN_RATE_MODE,EST_WIN_RATE_N,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR,CARRY_FAIL_REASON
1,069540,빛과전자,KOSDAQ,IT/전기전자,5900,1009.85,5776.2,0.0,,ARMED,ARMED,2,True,1,False,83.2,83.2,88.4,80.7,77.6,0.0,80.0,82.2,10.8,86.5,2.47,0.0,밸런스우수 + RR2.5 + 진입적정 + 3축고점 + 대기,1,5900.0,5010.0,8100.0,8730.0,,0.79,0.58,3775,275.03,특이사항 없음,1,50.79,42.6,9.12,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,NORMAL,26.7,통신 및 방송 장비 제조업,100985301030.0,52.6,44.39,1,0,-2.8,13.24,12.6,81.54,349.7,686.67,73.56,325.52,643.14,0.031,0.031,1,12.0,0,0,1.65,0.56,0,0,0,1,1,3910.0,56.28,0.3759,False,O,▲,5284,▲,O,X,4.45,248,0,1,1,1,10080.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.08,5.0,2.5,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,통신 및 방송 장비 제조업,4.306989247311828,19.851182795698925,5.0,0.34303435114503816,0.12968978027375522,0.6349206349206349,OK,77.6,OK,46.784039421091805,46.784039421091805,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260512,20260512,,83.2,83.2,83.2,24.18,24.18,FRESH,0.596,,False,0.427,True,MATURE,5621.0,2.472,1.14,1.14,0.0,0.0,,v22_calibrated,,,,,,True,37.3,AGGRESSIVE,ELITE_SCORE,MATURE,5621,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
2,298830,슈어소프트테크,KOSDAQ,IT/전기전자,7750,222.36,4143.0,0.0,,ARMED,ARMED,2,True,1,False,83.1,83.1,95.0,75.7,74.1,0.0,76.9,81.6,20.9,73.9,1.69,0.0,RR1.7 + 진입적정 + 3축고점 + 대기,1,7750.0,7210.0,8660.0,9060.0,,1.0,1.8,7850,-14.41,특이사항 없음,2,8.61,54.0,1.75,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,NORMAL,26.7,소프트웨어 개발 및 공급업,22235512210.0,74.6,15.63,1,0,-6.29,-0.51,3.06,8.54,-3.97,60.12,0.56,-28.15,16.59,0.712,0.429,0,12.0,1,0,1.8,0.5,0,0,0,1,1,6781.0,-1.29,0.0821,True,X,▼,7912,▲,X,X,0.36,250,0,-1,1,1,9520.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,6.97,6.0,1.7,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,VP_RESISTANCE,65,ATR_3.5x,45,0.0,소프트웨어 개발 및 공급업,4.306989247311828,19.851182795698925,5.0,0.06525345622119816,0.021324833066785315,0.24761904761904763,OK,74.1,OK,69.0,69.0,10,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260512,20260512,,83.1,83.1,83.1,24.18,24.18,FRESH,0.644,,False,0.426,True,MATURE,5621.0,1.685,1.136,1.136,0.0,0.0,,v22_calibrated,,,,,,True,11.7,STABLE,ELITE_SCORE,MATURE,5621,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
3,098460,고영,KOSDAQ,조선·기계·설비,41400,3247.5,28423.1,0.0,,ARMED,ARMED,2,True,1,False,85.1,85.1,98.4,78.4,71.8,0.0,77.2,82.9,26.6,66.7,0.94,0.0,진입적정 + 3축고점 + 대기,0,41400.0,37550.0,45000.0,47600.0,🚀급등시동,0.94,1.18,35597,57.55,특이사항 없음,0,45.4,67.9,13.59,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,NORMAL,26.7,특수 목적용 기계 제조업,324750311825.0,83.6,60.97,0,0,-0.24,6.29,-2.13,51.37,22.49,101.95,43.39,-1.69,58.42,0.044,0.044,1,12.0,1,0,2.38,0.8,0,0,0,1,1,34780.0,16.3,-0.3523,False,O,▲,43045,▼,X,X,0.48,250,0,1,1,1,53600.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,9.3,5.0,0.9,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,BB_UPPER,75,ATR_3.5x,45,0.0,특수 목적용 기계 제조업,2.1255696202531644,19.06645569620253,6.0,0.0836783988957902,0.06946727095719074,0.5294117647058824,OK,71.8,OK,54.168452647721544,54.168452647721544,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260512,20260512,,85.1,85.1,85.1,24.18,24.18,FRESH,0.639,,False,0.442,True,MATURE,5621.0,0.935,1.2,0.935,0.0,0.0,,v22_calibrated,,,,,,True,8.7,,ELITE_SCORE,MATURE,5621,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
4,080220,제주반도체,KOSDAQ,반도체,55200,1707.77,19012.4,0.0,,ARMED,ARMED,2,True,1,False,80.2,80.2,100.0,60.5,80.2,0.0,69.6,80.2,39.5,50.6,1.64,0.0,RR1.6 + 진입적정 + 3축고점 + 대기,0,55200.0,50700.0,62600.0,65600.0,,-1.3,0.72,48475,19.47,특이사항 없음,0,32.07,66.9,9.93,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,NORMAL,26.7,반도체 제조업,170777078400.0,75.1,49.5,0,0,-1.6,-2.65,2.22,34.31,16.7,166.67,26.33,-7.48,123.14,0.047,0.047,1,12.0,1,0,2.19,0.68,0,0,0,1,1,46165.0,13.87,-0.4098,False,O,▲,58290,▼,X,X,1.07,250,0,1,1,1,73300.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,8.15,5.0,1.6,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_2x,70,ATR_3.5x,45,0.0,반도체 제조업,-0.08257142857142838,37.303714285714285,1.0,0.09362060041407869,0.05304569567517901,0.4444444444444444,OK,80.2,OK,34.55436496929835,34.55436496929835,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260512,20260512,,80.2,80.2,80.2,24.18,24.18,FRESH,0.6,,False,0.403,True,MATURE,5621.0,1.644,1.038,1.038,0.0,0.0,,v22_calibrated,,,,,,True,13.4,,ELITE_SCORE,MATURE,5621,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
5,295310,에이치브이엠,KOSDAQ,철강·금속,98200,530.54,11810.8,0.0,,ARMED,ARMED,2,True,1,False,75.0,75.0,73.0,86.1,56.9,0.0,69.4,72.0,29.2,63.5,1.07,0.0,RR1.1 + 진입적정 + 대기,0,98200.0,83500.0,113900.0,123200.0,,1.37,1.99,92134,12.27,특이사항 없음,2,1.49,54.2,8.31,TIMING 강점,STRUCT 보조,,스퀴즈/품질 대기,NORMAL,26.7,1차 비철금속 제조업,53053952500.0,52.7,24.04,0,0,-7.45,9.6,14.99,18.6,10.09,320.56,10.62,-14.09,277.03,0.118,0.118,1,12.0,1,0,2.08,0.53,0,0,0,1,1,80360.0,6.58,0.4122,False,O,▲,91400,▲,O,X,-1.51,250,0,1,1,1,130900.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,14.97,5.0,1.1,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,1차 비철금속 제조업,-2.5495238095238095,12.832857142857144,8.0,0.0725923770730288,-0.002161735010167408,0.5164835164835165,OK,56.9,OK,70.0,70.0,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260512,20260512,,75.0,75.0,75.0,24.18,24.18,FRESH,0.597,,False,0.361,True,MATURE,5621.0,1.068,0.863,0.863,0.0,0.0,,v22_calibrated,,,,,,True,16.0,,ELITE_SCORE,MATURE,5621,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
6,028670,팬오션,KOSPI,기타,5810,210.91,31058.5,0.0,,ARMED,ARMED,2,True,1,False,79.5,79.5,93.5,80.2,50.2,0.0,68.4,74.6,43.3,45.9,0.84,0.0,진입적정 + 대기,0,5810.0,5240.0,6290.0,6810.0,,0.83,0.83,5517,8.53,특이사항 없음,5,3.86,56.3,3.08,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,NORMAL,26.7,해상 운송업,21091392695.0,61.9,13.0,1,0,-0.17,3.01,3.2,8.4,16.43,52.89,0.42,-7.75,9.36,0.043,0.043,1,9.8,0,0,1.44,0.57,0,0,0,1,1,5217.0,5.31,0.0765,False,O,▲,5826,▲,X,X,0.17,250,0,1,1,1,,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,9.81,5.0,0.8,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,,0,0.0,해상 운송업,14.16297520661157,25.03429752066116,3.0,0.048807474797147775,0.00931686495053639,0.30303030303030304,OK,50.2,OK,39.515747945892095,39.515747945892095,10,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260512,20260512,,79.5,79.5,79.5,24.18,24.18,FRESH,0.583,,False,0.397,True,MATURE,5621.0,0.842,1.015,0.842,0.0,0.0,,v22_calibrated,,,,,,True,8.3,,ELITE_SCORE,MATURE,5621,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
7,011690,와이투솔루션,KOSPI,반도체,7840,98.55,2877.6,0.0,,ARMED,ARMED,2,True,1,False,79.0,79.0,100.0,61.2,72.4,0.0,68.3,77.9,38.8,51.5,3.96,0.0,RR4.0 + 진입적정 + 대기,0,7840.0,7320.0,9900.0,10740.0,,-1.59,0.69,7589,76.33,특이사항 없음,0,40.6,52.0,0.32,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,NORMAL,26.7,반도체 제조업,9855455265.0,67.7,45.71,0,0,-4.85,-11.91,-2.73,40.25,13.29,176.06,32.27,-10.89,132.53,0.18,0.135,1,12.0,1,0,3.01,0.55,0,0,0,1,1,6778.0,3.3,-0.5955,True,O,▲,8930,▼,X,X,1.94,250,0,1,1,1,11190.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,6.63,6.0,4.0,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,반도체 제조업,-0.08257142857142838,37.303714285714285,1.0,0.10550291545189504,0.0674142741325164,0.0449438202247191,OK,72.4,OK,42.695045957167935,42.695045957167935,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260512,20260512,,79.0,79.0,79.0,24.18,24.18,FRESH,0.582,,False,0.393,True,MATURE,5621.0,3.962,0.998,0.998,0.0,0.0,,v22_calibrated,,,,,,True,26.3,,ELITE_SCORE,MATURE,5621,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
8,232680,라온로보틱스,KOSDAQ,조선·기계·설비,16930,106.48,2220.5,0.0,,ARMED,ARMED,2,True,1,False,80.3,80.3,92.7,85.7,44.9,0.0,68.3,74.4,47.8,40.2,1.7,0.0,RR1.7 + 진입적정 + 대기,0,16930.0,15860.0,18750.0,19300.0,,-0.2,1.57,16299,13.08,특이사항 없음,1,14.81,56.9,1.91,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,NORMAL,26.7,특수 목적용 기계 제조업,10648167260.0,63.8,17.54,1,0,-3.31,-1.63,0.83,14.31,-6.62,111.62,6.33,-30.8,68.09,0.354,0.305,1,12.0,1,0,1.28,0.6,0,0,0,1,1,14913.0,3.87,-0.0992,True,O,▲,17518,▼,X,X,0.06,250,0,1,1,1,21100.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,6.32,6.0,1.7,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_2x,70,ATR_3.5x,45,0.0,특수 목적용 기계 제조업,2.1255696202531644,19.06645569620253,6.0,0.06995190279301325,0.01478944423991964,0.4807692307692308,OK,44.9,OK,60.0,60.0,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260512,20260512,,80.3,80.3,80.3,24.18,24.18,FRESH,0.582,,False,0.403,True,MATURE,5621.0,1.701,1.042,1.042,0.0,0.0,,v22_calibrated,,,,,,True,10.8,,ELITE_SCORE,MATURE,5621,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
9,017510,세명전기,KOSDAQ,기타,14190,257.79,2163.4,0.0,,ARMED,ARMED,2,True,1,False,77.2,77.2,95.7,54.3,85.8,0.0,66.9,78.6,41.4,48.2,1.77,0.0,RR1.8 + 진입적정 + 대기,0,14190.0,12060.0,17970.0,20150.0,,-0.04,0.58,12549,1.03,특이사항 없음,0,31.24,69.4,12.88,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,NORMAL,26.7,기타 금속 가공제품 제조업,25779113810.0,85.8,79.47,0,0,-4.57,-10.02,23.71,51.6,38.3,30.3,43.62,14.12,-13.23,0.124,0.124,1,12.0,1,0,2.99,0.57,0,0,0,1,1,11075.0,13.07,-0.6266,False,O,▲,16669,▲,X,X,-0.13,250,0,1,1,1,20700.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.01,6.0,1.8,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,기타 금속 가공제품 제조업,14.16297520661157,25.03429752066116,3.0,0.11914829356689823,0.11455701530502727,0.2696078431372549,OK,85.8,OK,30.840963251021613,30.840963251021613,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260512,20260512,,77.2,77.2,77.2,24.18,24.18,FRESH,0.563,,False,0.379,True,MATURE,5621.0,1.775,0.937,0.937,0.0,0.0,,v22_calibrated,,,,,,True,26.6,,ELITE_SCORE,MATURE,5621,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
10,008770,호텔신라,KOSPI,유통·소비재,62400,330.91,24490.8,0.0,,ARMED,ARMED,2,True,1,False,78.2,78.2,100.0,49.9,91.2,0.0,65.8,80.4,50.1,37.4,2.03,0.0,RR2.0 + 진입적정 + 3축고점 + 대기,0,62400.0,58500.0,70300.0,73200.0,,-0.03,0.82,54164,34.99,특이사항 없음,0,27.16,67.0,4.94,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,NORMAL,26.7,기타 상품 전문 소매업,33090769950.0,67.9,46.03,0,0,-2.8,-3.7,0.16,24.55,25.55,36.69,16.57,1.37,-6.84,0.09,0.09,1,11.4,1,0,2.29,0.65,0,0,0,1,1,58415.0,15.21,-0.4343,True,O,▲,67726,▼,X,X,-0.93,250,0,1,1,1,74800.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,6.25,5.0,2.0,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,BB_UPPER,75,ATR_3.5x,45,0.0,기타 상품 전문 소매업,-2.7253333333333334,3.9413333333333327,12.0,0.056776556776556776,0.13298423585780758,0.08571428571428572,OK,91.2,OK,36.468070402684376,36.468070402684376,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260512,20260512,,78.2,78.2,78.2,24.18,24.18,FRESH,0.548,,False,0.387,True,MATURE,5621.0,2.026,0.971,0.971,0.0,0.0,,v22_calibrated,,,,,,True,12.7,,ELITE_SCORE,MATURE,5621,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
11,073490,LIG아큐버,KOSDAQ,IT/전기전자,52800,200.83,4014.8,0.0,,ARMED,ARMED,2,True,1,False,74.9,74.9,100.0,52.9,68.7,0.0,62.6,73.9,47.1,41.1,1.22,0.0,RR1.2 + 진입적정 + 대기,0,52800.0,44850.0,62500.0,69500.0,,-0.13,0.64,47198,19.45,특이사항 없음,0,14.01,58.5,3.53,STRUCT 강점,,,스퀴즈/품질 대기,NORMAL,26.7,통신 및 방송 장비 제조업,20083344350.0,82.6,24.99,0,0,-0.19,-0.38,2.52,22.22,52.82,121.85,14.24,28.64,78.32,0.035,0.035,1,12.0,1,0,2.36,0.52,0,0,0,1,1,43075.0,11.87,-0.1095,False,O,▲,52655,▼,O,X,2.08,250,0,1,1,1,71600.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.06,6.0,1.2,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,통신 및 방송 장비 제조업,4.306989247311828,19.851182795698925,5.0,0.09030032467532469,0.19112115728804616,0.38596491228070173,OK,68.7,OK,30.907194067813407,30.907194067813407,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260512,20260512,,74.9,74.9,74.9,24.18,24.18,FRESH,0.537,,False,0.36,True,MATURE,5621.0,1.22,0.863,0.863,0.0,0.0,,v22_calibrated,,,,,,True,18.4,,ELITE_SCORE,MATURE,5621,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
12,012800,대창,KOSPI,철강·금속,1740,420.27,1585.8,0.0,,ARMED,ARMED,2,True,1,False,67.0,67.0,76.8,51.6,78.2,0.0,61.4,68.9,26.6,66.8,1.61,0.0,RR1.6 + 진입적정 + 대기,0,1740.0,1519.0,2095.0,2185.0,,-0.33,4.88,1599,17.66,특이사항 없음,0,1.5,72.4,9.83,AI 강점,STRUCT 보조,RSI 과열,스퀴즈/품질 대기,NORMAL,26.7,1차 비철금속 제조업,42027265961.0,81.9,24.05,0,0,2.96,-1.19,17.01,13.43,27.66,36.79,5.45,3.48,-6.74,0.064,0.064,1,12.0,0,0,2.8,0.44,0,0,0,1,1,1481.2,8.8,-0.1392,False,O,▲,1731,▲,O,X,0.95,250,0,1,1,1,2325.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,12.7,6.0,1.6,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,1차 비철금속 제조업,-2.5495238095238095,12.832857142857144,8.0,0.07307060755336617,0.08969449821338456,0.9125964010282777,OK,78.2,OK,37.014302891861064,37.014302891861064,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260512,20260512,,67.0,67.0,67.0,24.18,24.18,FRESH,0.537,,False,0.3,True,MATURE,5621.0,1.606,0.894,0.894,0.0,0.0,,v22_calibrated,,,,,,True,20.4,,ELITE_SCORE,MATURE,5621,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
13,168360,펨트론,KOSDAQ,조선·기계·설비,25250,226.56,5481.2,0.0,,ARMED,ARMED,2,True,1,False,69.0,69.0,87.2,54.5,61.6,0.0,60.7,67.8,32.7,59.1,1.72,0.0,RR1.7 + 진입적정 + 대기,0,25250.0,22600.0,29800.0,34700.0,,-0.3,3.11,24068,31.24,특이사항 없음,1,11.48,58.1,3.86,STRUCT 강점,,,스퀴즈/품질 대기,NORMAL,26.7,특수 목적용 기계 제조업,22656102475.0,53.5,23.75,1,0,-10.14,-2.7,0.2,19.95,25.62,30.76,11.97,1.44,-12.77,0.103,0.103,1,12.0,1,0,1.28,0.49,0,0,0,1,1,21265.0,4.91,-0.0716,False,O,▲,25861,▲,X,X,6.05,250,0,1,1,1,,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,10.5,5.0,1.7,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,,0,0.0,특수 목적용 기계 제조업,2.1255696202531644,19.06645569620253,6.0,0.0876944837340877,0.00943764406226418,0.0,OK,61.6,OK,37.45566121393935,37.45566121393935,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260512,20260512,,69.0,69.0,69.0,24.18,24.18,FRESH,0.537,,False,0.313,True,MATURE,5621.0,1.717,0.886,0.886,0.0,0.0,,v22_calibrated,,,,,,True,18.0,,ELITE_SCORE,MATURE,5621,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
