시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2
KOSPI,디아이씨,092200,기타,7310,709.88,2531.6,58.6,75.1,12.89,18.9687,25.15146,1.41,2.24,18.86,9,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",6670,6200,7230,7840
KOSDAQ,대화제약,067080,기타,17380,53.34,3185.3,62.7,63.9,4.97,53.907,43.17476,1.91,4.83,2.24,9,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",17050,15860,18490,20050
KOSDAQ,온코닉테라퓨틱스,476060,기타,17750,1873.84,6958.2,74.1,73.0,17.35,193.9395,117.20157,2.62,9.5,26.79,8,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",15580,14490,16890,18310
KOSDAQ,인투셀,287840,기타,60700,701.88,8730.4,57.1,64.4,5.8,-492.4819,267.50611,1.47,2.71,5.75,8,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",59100,55000,64100,69400
KOSDAQ,조이시티,067000,기타,2395,435.31,1415.5,64.6,81.5,28.33,52.197,24.28367,4.54,7.88,48.94,8,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",1922,1788,2085,2260
KOSPI,대원전선,006340,기타,3920,381.05,2886.2,48.4,60.4,2.35,-20.2106,16.20147,0.75,-0.51,3.16,8,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",3920,3645,4250,4605
KOSPI,금강공업,014280,기타,6270,325.29,1850.7,74.4,85.4,11.94,77.7149,5.29602,1.7,10.97,18.75,8,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",5770,5370,6250,6780
KOSPI,HD현대건설기계,267270,기타,94600,90.74,16819.5,59.2,60.9,1.18,382.7426,82.23793,0.61,2.49,0.64,8,★,"RSI적정, MACD상승, 20선근접, 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",94600,88000,102500,111200
KOSDAQ,새빗켐,107600,기타,33950,86.14,1863.5,57.6,86.6,6.92,-20.1585,296.56365,2.59,10.77,3.19,8,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",32700,30400,35450,38450
KOSPI,신풍제약,019170,기타,14360,72.07,7820.6,54.3,60.5,1.49,-15.2378,7.96571,0.76,0.7,-1.1,8,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",14360,13350,15570,16870
KOSDAQ,메디포스트,078160,기타,17940,61.29,6621.7,61.3,70.5,8.3,-18.3152,113.34852,3.49,10.4,6.72,8,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",17060,15870,18490,20050
KOSPI,이수페타시스,007660,기타,146300,3098.42,103947.5,71.4,68.1,19.85,1300.4271,388.24075,0.95,9.75,22.53,7,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",125700,116900,136300,147700
KOSDAQ,올릭스,226950,기타,124400,1803.68,26350.4,52.3,62.3,-3.22,-2132.0551,-546.96908,1.27,-9.86,-9.26,7,★,"RSI적정, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",124400,115700,134800,146200
KOSPI,삼성전자우,005935,기타,77000,1418.56,630748.4,53.1,64.1,-0.4,-424.8363,212.41809,0.42,1.85,-2.9,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",77000,71600,83500,90500
KOSPI,코오롱모빌리티그룹,450140,기타,11710,1266.63,6629.3,56.6,87.0,17.19,100.0087,131.00266,2.66,26.73,2.9,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",10290,9570,11160,12090
KOSDAQ,파두,440110,기타,28650,651.27,12288.7,62.8,70.2,15.21,18.7957,370.64965,2.41,19.38,13.24,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",25600,23800,27750,30100
KOSPI,비에이치,090460,기타,18300,330.43,5636.6,62.1,64.4,9.02,135.2597,141.04253,4.13,10.17,8.09,7,★,"RSI적정, MACD상승, 거래량↑, 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",17290,16080,18740,20300
KOSDAQ,티엘비,356860,기타,67100,255.31,6391.2,53.2,63.2,-0.37,-884.7187,157.47776,0.61,1.51,-7.83,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",67100,62400,72700,78800
KOSPI,롯데관광개발,032350,기타,19620,254.31,16146.5,57.7,73.3,0.73,24.5458,-124.33455,0.8,-12.21,2.83,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",19620,18250,21250,23050
KOSPI,DB하이텍,000990,기타,63600,248.38,26929.3,63.1,73.2,1.01,-648.7124,70.95396,0.39,-4.22,-5.78,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",63600,59100,68900,74700
KOSPI,STX엔진,077970,기타,33350,247.93,12967.8,53.8,37.6,3.24,335.6684,172.34349,1.75,4.38,3.25,7,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), MACD>Sig, 과열X",33250,30950,36050,39100
KOSDAQ,비에이치아이,083650,기타,45350,236.22,13708.4,61.5,76.6,3.25,388.4977,165.48342,0.6,0.0,5.71,7,★,"RSI적정, MACD상승, 20선근접, 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",45250,42050,49050,53200
KOSDAQ,오름테라퓨틱,475830,기타,55100,207.05,12483.5,58.0,66.9,2.55,-360.7044,-308.12349,1.15,-2.99,0.92,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",55100,51200,59700,64700
KOSPI,우진,105840,기타,16300,201.57,3134.7,66.1,81.5,12.04,144.7429,99.12449,1.15,7.24,6.89,7,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",14980,13940,16240,17610
KOSDAQ,씨피시스템,413630,기타,4070,178.99,1448.4,57.6,86.5,-2.56,-105.0815,12.68577,0.53,-4.57,-12.47,7,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",4070,3785,4410,4780
KOSDAQ,에이팩트,200470,기타,5200,170.26,1944.4,55.2,88.6,8.83,-3.1316,55.99622,4.27,11.11,5.69,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",4920,4575,5340,5780
KOSPI,현대오토에버,307950,기타,188100,136.18,51008.6,49.4,71.1,-2.54,-1491.6557,243.6045,0.31,-1.93,-1.31,7,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",188100,174900,204000,221000
KOSPI,대성산업,128820,기타,4515,133.86,2130.6,61.9,81.0,5.37,34.3679,-7.19439,2.43,-4.04,0.78,7,★,"RSI적정, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",4415,4105,4785,5190
