시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSPI,KT&G,033780,141000,512.35,169020.6,59.1,2.98,452.3212,240.17061,1.35,3.75,4.91,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",138280,143050,147820,133520
KOSPI,셀트리온,068270,182900,4402.21,422387.7,67.7,3.97,177.04,631.91589,3.47,4.57,3.57,6,초입,"MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",177670,184710,191750,170640
KOSPI,POSCO홀딩스,005490,318500,2245.01,257771.5,56.4,3.28,-1005.8024,930.55082,1.57,4.26,-2.6,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",311460,323790,336130,299120
KOSPI,미래에셋증권,006800,24550,1585.51,140012.7,56.2,0.28,-322.0033,63.87794,1.22,-0.81,-5.03,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",24550,25350,26150,23750
KOSPI,한국금융지주,071050,176500,1155.97,98356.4,57.2,2.68,-1182.0568,399.91037,1.61,4.44,-0.11,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",173600,180480,187350,166730
KOSPI,우리금융지주,316140,27000,837.43,198200.6,63.5,4.27,93.1115,54.37218,1.37,3.85,5.88,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",26150,27190,28230,25120
KOSPI,한국항공우주,047810,103800,776.21,101179.2,53.5,2.02,-210.8389,218.23117,1.2,3.8,1.47,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",102760,106830,110900,98690
KOSDAQ,티엘비,356860,68900,562.36,6774.7,45.7,1.86,-1016.7077,130.92585,1.33,4.87,-2.55,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",68320,71020,73730,65610
KOSPI,더존비즈온,012510,93100,559.15,28286.4,57.0,3.49,-557.638,502.03663,1.53,-1.17,1.42,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",90860,94460,98060,87260
KOSPI,현대차증권,001500,8630,363.23,5336.2,49.2,0.15,-33.011,27.32713,1.49,6.81,-3.25,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",8630,8900,9170,8360
KOSPI,코오롱,002020,48000,242.01,6060.7,53.2,4.18,90.9691,80.06399,2.21,6.67,6.31,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",46530,48380,50220,44690
KOSPI,대신증권,003540,30150,225.98,15308.2,59.7,5.88,33.3252,110.62513,2.04,8.45,4.87,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",28760,29900,31040,27620
KOSPI,강원랜드,035250,17630,182.67,37717.7,62.1,2.78,78.3792,41.16503,1.49,5.7,3.46,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",17320,17780,18230,16870
KOSPI,한국가스공사,036460,42850,152.67,39556.1,53.4,2.19,5.0995,23.16558,1.19,4.13,0.12,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",42350,43950,45550,40750
KOSPI,SK아이이테크놀로지,361610,31800,126.08,26008.3,49.4,-0.4,-322.1977,163.77907,1.57,6.18,-6.06,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",31800,32630,33460,30970
KOSDAQ,NHN KCP,060250,16600,124.8,6666.7,56.0,3.27,-63.309,102.08221,1.29,9.35,-1.78,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",16230,16880,17520,15590
KOSPI,한전KPS,051600,52300,90.21,23535.0,57.1,2.56,47.2284,115.72516,0.75,5.87,-0.19,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",51500,53540,55580,49460
KOSDAQ,넥스트바이오메디컬,389650,62300,82.02,5063.1,50.0,0.53,67.7617,223.5145,1.41,2.3,1.8,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",62300,64490,66680,60110
KOSPI,페이퍼코리아,001020,700,70.3,1245.9,46.9,0.5,0.5922,1.44974,18.23,2.94,-0.71,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",700,720,750,680
KOSDAQ,유니셈,036200,10520,69.77,3225.9,56.1,3.58,5.693,13.02556,0.96,7.35,4.68,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",10260,10660,11070,9850
KOSDAQ,뷰노,338220,25300,62.83,3542.5,58.3,5.54,11.6729,76.39937,1.98,3.9,10.24,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",24210,25170,26130,23250
KOSPI,하이트진로,000080,19240,55.3,13493.7,60.3,1.94,38.9802,28.94062,1.99,3.27,1.75,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",19060,19330,19600,18800
KOSDAQ,메디톡스,086900,125200,54.69,9137.7,59.9,3.86,422.3957,285.09583,1.3,5.3,1.95,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",121760,126580,131400,116930
KOSPI,유진투자증권,001200,3860,54.69,3739.0,57.9,3.73,3.1031,13.3285,1.13,9.35,1.85,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",3760,3910,4060,3610
KOSPI,세아베스틸지주,001430,28850,52.35,10346.2,59.8,6.36,65.6124,105.41967,1.28,5.68,0.87,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",27400,28480,29570,26310
KOSDAQ,한글과컴퓨터,030520,25400,51.94,6141.7,58.2,3.14,35.8513,81.31452,1.33,2.42,0.4,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",24870,25860,26840,23890
KOSPI,롯데정밀화학,004000,47000,51.47,12126.0,46.2,0.76,-174.2619,164.19912,1.29,3.64,-1.16,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",47000,48750,50510,45250
KOSPI,삼성전자,005930,103100,19985.03,6103146.7,58.5,2.1,-867.9973,74.04941,0.74,2.49,2.59,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",101990,106030,110070,97950
KOSPI,한국전력,015760,47650,4526.18,305895.9,62.0,7.85,299.013,-15.97074,1.78,9.54,4.73,5,초입,"RSI 45~65, 거래량증가, 상승구조, MACD>sig, 과열아님",44620,46390,48160,42850
KOSDAQ,알테오젠,196170,547000,3511.0,292676.7,68.4,12.29,5075.0374,475.27681,1.35,3.4,17.26,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",492000,511480,530970,472510
