종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,NEWS_SCORE,NEWS_REASON,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,주봉20선_상회,주봉추세,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,ML_SCORE,TOTAL_SCORE,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%,오늘종가,전일추천매수가,전일→오늘_수익률%,검증기준일,비교대상추천일
413630,씨피시스템,KOSDAQ,플라스틱제품 제조업,플라스틱제품 제조업,기타,4550,128.91,1657.9,4550,4230,5350,6140,96.2,92.2,97.4,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,8.08,246.8,5.9,33.71,229.25,1,1.0,1.0,1.0,1.0,0.67,0.04,0.79,47.6,74.9,0.66,4638,-1.9,,-17.33,0.2545,0.55,0.75,3658,1,21.23,0,1,1,1,False,7.44,-2.57,45.37,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,549,249.8,4342,▲,O,X,5.166116504854369,16.431553398058252,6.0,2.5,0.0,1,🌪️ 에너지 응축 시작 (1일차). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),26.0,75.1,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),5,1,20251229,20251229,24.65,11.66,45.37,33.71,4545,4550,-0.1098901098901095,20251230,20251229
010170,대한광통신,KOSDAQ,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,2310,149.58,3048.9,2310,2145,2730,3145,94.8,91.4,95.3,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,-2.33,139.13,-4.51,48.98,121.58,3,1.0,1.0,1.0,1.0,0.56,0.06,0.78,63.4,77.9,0.24,2272,1.64,장악형,-12.0214,0.0674,0.78,0.25,1870,1,23.16,0,1,1,1,False,3.36,-1.28,60.64,O,▲,13,★,"주봉20선↑, 주봉추세우상향, HMA돌파, OBV매집, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회, 패턴(장악형)",1.8,1082,249.9,2264,▼,O,O,5.166116504854369,16.431553398058252,6.0,2.5454545454545454,0.0,1,🌪️ 에너지 응축 시작 (3일차). 📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),33.8,76.5,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),1,2,20251229,20251229,24.65,11.66,60.64,48.98,2225,2310,-3.6796536796536827,20251230,20251229
389500,에스비비테크,KOSDAQ,일반 목적용 기계 제조업,일반 목적용 기계 제조업,조선·기계·설비,39050,119.21,2473.4,39050,36300,46800,54600,91.2,85.2,92.0,0.0,뉴스없음,↩️ PULL (눌림),② 상승 후 조정,12.86,76.7,10.68,51.73,59.15,2,1.0,1.0,1.0,1.0,0.4,0.03,0.68,49.6,70.8,1.0,40202,-2.87,,-532.0935,-0.3699,0.45,-0.91,29360,1,24.34,0,1,1,1,False,-6.02,-3.1,63.39,O,▲,7,★,"주봉20선↑, 주봉추세우상향, RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,64,249.9,40051,▼,X,X,11.5825,20.025,2.0,2.8181818181818183,0.0,1,🌪️ 에너지 응축 시작 (2일차). 📉 매도세 우위. 💰 외국인/기관 수급 집중. ✅ 20일선 눌림목 구간. (매수 유효),23.6,70.9,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),2,3,20251229,20251229,24.65,11.66,63.39,51.73,36150,39050,-7.426376440460947,20251230,20251229
475400,씨메스,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,35650,145.93,4171.6,35650,33150,41650,47650,90.2,84.8,90.4,0.0,뉴스없음,↩️ PULL (눌림),② 상승 후 조정,8.03,51.38,5.85,31.8,33.83,2,1.0,1.0,1.0,1.0,0.32,0.06,0.69,52.5,70.9,1.26,36556,-2.48,,-163.6799,-0.1254,0.5,-0.01,30910,1,20.74,0,1,1,1,False,2.15,-10.2,43.46,O,▲,7,★,"주봉20선↑, 주봉추세우상향, RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,70,249.6,35739,▼,X,X,11.5825,20.025,2.0,2.4,0.0,1,🌪️ 에너지 응축 시작 (2일차). 📉 매도세 우위. 💰 외국인/기관 수급 집중. ✅ 20일선 눌림목 구간. (매수 유효),23.1,70.1,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),2,4,20251229,20251229,24.65,11.66,43.46,31.8,33100,35650,-7.152875175315565,20251230,20251229
067310,하나마이크론,KOSDAQ,반도체 제조업,반도체 제조업,반도체,25200,312.02,16727.3,25200,23400,28750,32300,88.4,82.8,88.3,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),③ 박스 / 중립,-1.95,99.52,-4.13,3.67,81.97,19,0.85,0.84,1.0,1.0,0.45,0.25,0.81,50.5,53.9,2.15,24894,1.23,,90.3708,0.1024,0.96,0.65,27055,-1,11.34,0,1,1,1,False,7.92,2.23,15.33,O,▲,11,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, OBV매집, RSI적정, MACD상승, 20선근접, 장기추세(120↑), MACD>Sig, VWAP상회",1.8,99,249.5,24354,▲,O,O,10.051764705882352,14.770588235294117,4.0,1.9722222222222223,0.0,-1,🌪️ 19일 연속 응축 중! 폭발 임박. 🚀 단기 모멘텀 가속.  (매수 유효),9.5,64.7,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),3,5,20251229,20251229,24.65,11.66,15.33,3.67,25750,25200,2.182539682539675,20251230,20251229
005490,POSCO홀딩스,KOSPI,1차 철강 제조업,1차 철강 제조업,철강·금속,314000,788.15,254129.5,314000,296000,349500,384500,87.3,88.8,83.1,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,1.45,0.64,-6.04,-10.47,-34.8,23,0.85,0.67,0.84,1.0,0.37,0.8,0.85,46.7,50.8,1.13,309790,1.36,장악형,-199.0972,0.1021,0.98,0.72,296450,1,6.71,1,1,1,1,False,3.8,-1.72,14.18,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회, 패턴(장악형)",1.8,7,219.8,306622,▲,O,X,10.5525,21.078333333333333,1.0,1.9722222222222223,0.0,1,🌪️ 23일 연속 응축 중! 폭발 임박. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),23.6,68.2,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),4,6,20251229,20251229,24.65,11.66,14.18,-10.47,305000,314000,-2.86624203821656,20251230,20251229
001440,대한전선,KOSPI,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,23750,1565.51,44281.2,23600,21900,27550,31550,87.2,86.6,84.0,0.0,뉴스없음,🔺 Watch (상승 준비),② 상승 후 조정,6.98,48.34,-0.51,32.01,12.9,5,0.88,0.95,1.0,0.9,0.29,1.0,0.57,55.3,58.5,3.75,23124,2.7,장악형,-62.77,-0.0217,2.3,0.76,25545,-1,12.22,0,1,1,1,False,4.86,-1.04,56.66,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA돌파, RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), VWAP상회, 패턴(장악형)",1.8,105,247.8,22774,▼,O,X,5.166116504854369,16.431553398058252,6.0,2.054054054054054,0.6355932203389831,-1,🌪️ 5일 연속 응축 중! 폭발 임박.  (매수 유효),34.9,71.5,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),2,7,20251229,20251229,24.65,11.66,56.66,32.01,22900,23600,-2.9661016949152574,20251230,20251229
000990,DB하이텍,KOSPI,반도체 제조업,반도체 제조업,반도체,67100,239.24,29191.6,67100,62400,76400,85600,87.1,83.3,85.7,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,5.5,45.08,-1.99,-5.47,9.64,10,0.85,0.82,1.0,1.0,0.33,0.17,0.81,53.2,68.4,1.54,68055,-1.4,망치형,28.7204,0.0268,0.99,0.45,61600,1,9.1,1,1,1,1,False,2.76,-0.74,19.18,O,▲,10,★,"주봉20선↑, 주봉추세우상향, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig, 패턴(망치형)",1.8,37,248.3,67672,▲,X,X,10.051764705882352,14.770588235294117,4.0,1.9787234042553192,0.0,1,🌪️ 10일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),23.2,67.9,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),4,8,20251229,20251229,24.65,11.66,19.18,-5.47,67600,67100,0.7451564828613977,20251230,20251229
103590,일진전기,KOSPI,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,55300,293.66,26370.0,55300,51400,63100,70800,86.2,80.2,85.7,0.0,뉴스없음,↩️ PULL (눌림),② 상승 후 조정,0.73,48.66,-6.76,38.48,13.22,5,0.86,0.84,1.0,1.0,0.31,0.23,0.74,52.4,66.6,0.84,54663,1.16,,-271.1816,-0.0545,0.77,-0.77,50960,1,13.35,0,1,1,1,True,1.1,-8.44,63.13,O,▲,11,★,"주봉20선↑, 주봉추세우상향, HMA돌파, OBV매집, RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",1.8,45,248.8,54403,▼,O,O,5.166116504854369,16.431553398058252,6.0,2.0,0.0,1,🌪️ 5일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. ✅ 20일선 눌림목 구간. (매수 유효),68.6,80.9,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),2,9,20251229,20251229,24.65,11.66,63.13,38.48,54400,55300,-1.6274864376130238,20251230,20251229
000250,삼천당제약,KOSDAQ,의약품 제조업,의약품 제조업,바이오·의약품,232500,400.39,54538.6,232500,216000,265500,298000,85.3,79.5,84.5,0.0,뉴스없음,↩️ PULL (눌림),③ 박스 / 중립,7.39,50.19,5.21,-4.02,32.64,3,0.86,0.84,1.0,1.0,0.24,0.35,0.74,62.1,54.1,2.47,225597,3.06,,-521.6522,-0.1816,1.0,-1.13,200850,1,13.71,0,1,1,1,False,-2.72,1.53,7.64,O,▲,8,★,"주봉20선↑, 주봉추세우상향, HMA돌파, RSI적정, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",1.8,10,232.5,227318,▼,O,X,1.2,9.588947368421053,7.0,2.0,0.0,1,🌪️ 에너지 응축 시작 (3일차). 📉 매도세 우위. ,72.5,81.5,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),3,10,20251229,20251229,24.65,11.66,7.64,-4.02,232500,232500,0.0,20251230,20251229
